Program Name,Department,GPA,GRE Score,TOEFL Score,Admission Accepted
Computer Science,Computer Science,3.85,308,110,Yes
Computer Science,Computer Science,3.77,304,107,No
Cybersecurity,Information Systems,3.1,292,98,No
Data Science,Information Systems,3.65,301,93,No
Health Information Technology,Information Systems,3.46,304,94,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.3,301,82,Yes
Cybersecurity,Information Systems,3.88,299,88,Yes
Human-Centered Computing,Information Systems,3.6,301,118,Yes
Environmental Engineering,Civil & Environmental Engineering,3.58,323,103,No
Human-Centered Computing,Information Systems,3.95,322,111,No
Engineering Management,Engineering Management,3.9,294,102,No
Engineering Management,Engineering Management,3.38,296,98,No
Data Science,Information Systems,3.28,318,114,Yes
Data Science,Information Systems,3.94,298,108,Yes
Environmental Engineering,Civil & Environmental Engineering,3.79,325,102,Yes
Electrical Engineering,Electrical Engineering,3.93,317,99,No
Health Information Technology,Information Systems,3.36,314,116,Yes
Electrical Engineering,Electrical Engineering,3.83,315,106,No
Data Science,Information Systems,3.32,332,116,Yes
Engineering Management,Engineering Management,3.92,326,83,Yes
Health Information Technology,Information Systems,3.26,297,102,No
Electrical Engineering,Electrical Engineering,3.78,294,111,Yes
Human-Centered Computing,Information Systems,3.59,339,101,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.69,298,120,Yes
Human-Centered Computing,Information Systems,3.7,313,116,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.57,300,100,Yes
Cybersecurity,Information Systems,3.92,311,89,Yes
Environmental Engineering,Civil & Environmental Engineering,3.95,336,119,No
Human-Centered Computing,Information Systems,3.81,329,112,Yes
Electrical Engineering,Electrical Engineering,3.45,303,103,No
Electrical Engineering,Electrical Engineering,3.47,323,97,Yes
Cybersecurity,Information Systems,3.84,318,102,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.7,311,116,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.66,337,91,Yes
Engineering Management,Engineering Management,3.5,294,106,Yes
Computer Science,Computer Science,3.94,320,108,Yes
Electrical Engineering,Electrical Engineering,3.59,308,120,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.77,315,87,Yes
Environmental Engineering,Civil & Environmental Engineering,3.96,324,108,Yes
Computer Science,Computer Science,3.94,334,106,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.83,319,115,Yes
Cybersecurity,Information Systems,3.7,295,114,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.2,290,113,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.52,292,109,Yes
Electrical Engineering,Electrical Engineering,3.36,301,109,No
Computer Science,Computer Science,3.64,294,107,No
Human-Centered Computing,Information Systems,3.78,318,120,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.53,292,80,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.64,330,116,Yes
Cybersecurity,Information Systems,3.61,340,100,Yes
Human-Centered Computing,Information Systems,3.58,300,110,Yes
Cybersecurity,Information Systems,3.36,327,117,No
Data Science,Information Systems,3.9,300,117,Yes
Human-Centered Computing,Information Systems,3.83,290,106,Yes
Electrical Engineering,Electrical Engineering,3.56,326,113,No
Engineering Management,Engineering Management,3.49,294,91,Yes
Engineering Management,Engineering Management,3.54,338,83,Yes
Engineering Management,Engineering Management,3.99,310,113,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.91,310,103,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.66,310,87,Yes
Computer Engineering,Computer Science & Electrical Engineering,4.0,337,86,No
Computer Science,Computer Science,3.92,313,119,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.32,340,112,No
Health Information Technology,Information Systems,3.71,320,102,Yes
Human-Centered Computing,Information Systems,3.62,312,100,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.62,306,93,No
Cybersecurity,Information Systems,3.2,329,86,Yes
Health Information Technology,Information Systems,3.87,316,109,Yes
Health Information Technology,Information Systems,3.73,334,112,Yes
Cybersecurity,Information Systems,3.85,303,108,No
Computer Engineering,Computer Science & Electrical Engineering,3.36,303,84,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.55,300,115,Yes
Cybersecurity,Information Systems,3.05,293,98,Yes
Engineering Management,Engineering Management,3.99,294,89,No
Computer Science,Computer Science,3.9,304,117,No
Engineering Management,Engineering Management,3.76,323,99,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.23,326,85,Yes
Environmental Engineering,Civil & Environmental Engineering,3.56,324,107,No
Computer Engineering,Computer Science & Electrical Engineering,3.47,302,90,Yes
Environmental Engineering,Civil & Environmental Engineering,3.91,302,118,No
Computer Engineering,Computer Science & Electrical Engineering,3.3,312,102,Yes
Engineering Management,Engineering Management,3.63,306,113,Yes
Health Information Technology,Information Systems,3.99,304,112,Yes
Environmental Engineering,Civil & Environmental Engineering,3.63,321,111,No
Computer Engineering,Computer Science & Electrical Engineering,3.31,339,93,No
Computer Engineering,Computer Science & Electrical Engineering,3.44,331,114,Yes
Engineering Management,Engineering Management,3.55,334,95,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.99,326,87,No
Health Information Technology,Information Systems,3.17,325,116,Yes
Health Information Technology,Information Systems,3.09,321,104,No
Cybersecurity,Information Systems,3.7,311,107,Yes
Environmental Engineering,Civil & Environmental Engineering,3.57,296,108,No
Environmental Engineering,Civil & Environmental Engineering,3.58,314,102,Yes
Health Information Technology,Information Systems,3.43,325,107,Yes
Human-Centered Computing,Information Systems,3.54,327,118,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.67,290,93,Yes
Computer Science,Computer Science,3.53,307,120,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.84,295,113,Yes
Electrical Engineering,Electrical Engineering,3.63,293,115,No
Environmental Engineering,Civil & Environmental Engineering,3.75,297,104,Yes
Human-Centered Computing,Information Systems,3.59,296,103,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.94,300,84,Yes
Environmental Engineering,Civil & Environmental Engineering,3.88,290,106,Yes
Computer Science,Computer Science,3.81,302,120,No
Computer Science,Computer Science,3.71,327,107,Yes
Data Science,Information Systems,3.76,302,97,Yes
Health Information Technology,Information Systems,3.28,330,116,No
Environmental Engineering,Civil & Environmental Engineering,3.85,326,120,Yes
Data Science,Information Systems,3.25,314,118,Yes
Engineering Management,Engineering Management,3.49,333,95,Yes
Electrical Engineering,Electrical Engineering,3.68,339,102,Yes
Cybersecurity,Information Systems,3.34,293,88,Yes
Engineering Management,Engineering Management,3.69,295,84,No
Data Science,Information Systems,3.53,314,116,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.87,299,104,Yes
Environmental Engineering,Civil & Environmental Engineering,3.71,317,120,Yes
Human-Centered Computing,Information Systems,3.56,339,100,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.08,310,113,Yes
Computer Science,Computer Science,3.95,318,106,No
Cybersecurity,Information Systems,3.35,339,96,Yes
Electrical Engineering,Electrical Engineering,3.96,310,96,Yes
Data Science,Information Systems,3.53,321,97,Yes
Electrical Engineering,Electrical Engineering,3.95,305,110,No
Computer Science,Computer Science,3.74,308,106,No
Environmental Engineering,Civil & Environmental Engineering,3.83,312,116,Yes
Electrical Engineering,Electrical Engineering,3.35,321,106,Yes
Electrical Engineering,Electrical Engineering,3.68,310,110,Yes
Health Information Technology,Information Systems,3.24,295,100,Yes
Environmental Engineering,Civil & Environmental Engineering,3.56,320,117,No
Electrical Engineering,Electrical Engineering,3.65,325,98,Yes
Human-Centered Computing,Information Systems,3.93,319,100,No
Data Science,Information Systems,3.41,291,93,Yes
Engineering Management,Engineering Management,3.2,330,116,Yes
Computer Science,Computer Science,3.84,295,102,No
Environmental Engineering,Civil & Environmental Engineering,3.92,323,114,No
Electrical Engineering,Electrical Engineering,3.54,292,120,Yes
Health Information Technology,Information Systems,3.9,304,95,Yes
Data Science,Information Systems,3.89,299,114,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.72,339,120,No
Environmental Engineering,Civil & Environmental Engineering,3.81,310,102,No
Computer Engineering,Computer Science & Electrical Engineering,3.97,294,113,Yes
Cybersecurity,Information Systems,3.02,298,84,Yes
Data Science,Information Systems,3.88,310,111,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.29,294,97,Yes
Cybersecurity,Information Systems,3.85,321,111,Yes
Environmental Engineering,Civil & Environmental Engineering,3.56,316,105,No
Cybersecurity,Information Systems,3.79,340,83,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.94,302,90,Yes
Cybersecurity,Information Systems,3.79,299,99,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.62,300,84,No
Cybersecurity,Information Systems,3.1,293,117,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.8,303,116,No
Engineering Management,Engineering Management,3.72,333,99,Yes
Computer Science,Computer Science,3.54,314,113,Yes
Engineering Management,Engineering Management,3.94,299,115,Yes
Data Science,Information Systems,3.96,298,95,No
Data Science,Information Systems,3.89,336,112,No
Electrical Engineering,Electrical Engineering,3.43,335,95,Yes
Computer Science,Computer Science,3.76,300,103,Yes
Cybersecurity,Information Systems,3.49,293,112,Yes
Engineering Management,Engineering Management,3.03,290,93,No
Human-Centered Computing,Information Systems,3.93,314,114,Yes
Health Information Technology,Information Systems,3.99,314,108,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.73,301,80,Yes
Environmental Engineering,Civil & Environmental Engineering,3.81,323,106,Yes
Cybersecurity,Information Systems,3.88,291,90,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.72,300,90,Yes
Data Science,Information Systems,3.54,332,102,Yes
Cybersecurity,Information Systems,3.33,299,101,Yes
Engineering Management,Engineering Management,3.94,328,94,No
Data Science,Information Systems,3.47,333,91,Yes
Cybersecurity,Information Systems,3.59,313,84,Yes
Engineering Management,Engineering Management,3.04,334,108,Yes
Data Science,Information Systems,3.71,315,91,Yes
Human-Centered Computing,Information Systems,3.75,321,108,No
Engineering Management,Engineering Management,3.48,319,104,Yes
Cybersecurity,Information Systems,3.26,295,117,No
Health Information Technology,Information Systems,3.16,333,104,Yes
Cybersecurity,Information Systems,3.5,294,120,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.56,314,100,Yes
Data Science,Information Systems,3.81,338,101,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.54,317,119,Yes
Human-Centered Computing,Information Systems,3.54,327,103,No
Human-Centered Computing,Information Systems,3.87,320,111,Yes
Engineering Management,Engineering Management,3.46,314,115,Yes
Cybersecurity,Information Systems,3.95,325,100,No
Environmental Engineering,Civil & Environmental Engineering,3.97,339,103,Yes
Environmental Engineering,Civil & Environmental Engineering,3.95,338,100,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.09,298,95,Yes
Health Information Technology,Information Systems,3.11,295,99,Yes
Health Information Technology,Information Systems,3.44,305,118,No
Human-Centered Computing,Information Systems,3.88,309,107,Yes
Cybersecurity,Information Systems,3.54,330,116,Yes
Cybersecurity,Information Systems,3.84,309,92,Yes
Cybersecurity,Information Systems,3.36,308,91,Yes
Computer Science,Computer Science,3.64,330,116,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.21,299,84,Yes
Computer Science,Computer Science,3.74,296,100,No
Computer Science,Computer Science,3.89,295,104,No
Engineering Management,Engineering Management,3.38,301,117,Yes
Data Science,Information Systems,3.45,332,97,Yes
Electrical Engineering,Electrical Engineering,3.64,293,97,No
Computer Engineering,Computer Science & Electrical Engineering,3.75,323,102,Yes
Human-Centered Computing,Information Systems,3.99,298,101,Yes
Environmental Engineering,Civil & Environmental Engineering,3.64,316,101,Yes
Computer Science,Computer Science,3.62,326,119,Yes
Computer Science,Computer Science,3.77,318,104,Yes
Electrical Engineering,Electrical Engineering,3.98,296,94,Yes
Data Science,Information Systems,3.31,317,118,No
Cybersecurity,Information Systems,3.9,300,84,No
Human-Centered Computing,Information Systems,3.78,332,103,Yes
Cybersecurity,Information Systems,3.87,302,98,Yes
Environmental Engineering,Civil & Environmental Engineering,3.66,305,108,No
Health Information Technology,Information Systems,3.26,295,119,Yes
Human-Centered Computing,Information Systems,3.94,298,120,No
Environmental Engineering,Civil & Environmental Engineering,3.52,290,118,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.65,303,82,Yes
Engineering Management,Engineering Management,3.92,297,91,Yes
Engineering Management,Engineering Management,3.94,321,117,No
Health Information Technology,Information Systems,3.26,290,99,Yes
Environmental Engineering,Civil & Environmental Engineering,3.51,306,112,Yes
Cybersecurity,Information Systems,3.66,329,119,No
Human-Centered Computing,Information Systems,3.55,331,108,Yes
Human-Centered Computing,Information Systems,3.78,331,103,No
Electrical Engineering,Electrical Engineering,3.9,331,108,No
Computer Engineering,Computer Science & Electrical Engineering,3.85,325,114,Yes
Cybersecurity,Information Systems,3.21,299,98,No
Engineering Management,Engineering Management,3.7,324,109,No
Electrical Engineering,Electrical Engineering,3.37,295,101,Yes
Health Information Technology,Information Systems,3.06,327,102,No
Engineering Management,Engineering Management,3.52,306,119,Yes
Human-Centered Computing,Information Systems,3.73,301,101,Yes
Human-Centered Computing,Information Systems,3.86,331,105,No
Health Information Technology,Information Systems,3.06,300,103,Yes
Electrical Engineering,Electrical Engineering,3.36,336,94,Yes
Human-Centered Computing,Information Systems,3.51,329,113,Yes
Data Science,Information Systems,3.77,329,100,Yes
Human-Centered Computing,Information Systems,3.78,295,109,No
Health Information Technology,Information Systems,3.1,302,107,Yes
Cybersecurity,Information Systems,3.08,308,82,No
Electrical Engineering,Electrical Engineering,3.28,294,99,Yes
Engineering Management,Engineering Management,3.5,302,103,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.94,333,106,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.81,293,107,Yes
Environmental Engineering,Civil & Environmental Engineering,3.68,294,107,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.28,329,120,No
Health Information Technology,Information Systems,3.44,312,114,No
Computer Engineering,Computer Science & Electrical Engineering,3.96,301,107,No
Data Science,Information Systems,3.38,331,105,Yes
Environmental Engineering,Civil & Environmental Engineering,3.77,310,102,Yes
Computer Science,Computer Science,3.61,337,107,Yes
Health Information Technology,Information Systems,3.98,340,114,No
Electrical Engineering,Electrical Engineering,3.5,328,108,Yes
Engineering Management,Engineering Management,3.51,321,86,Yes
Health Information Technology,Information Systems,3.73,302,109,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.36,324,92,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.73,328,100,Yes
Engineering Management,Engineering Management,3.37,331,82,Yes
Electrical Engineering,Electrical Engineering,3.28,294,91,No
Engineering Management,Engineering Management,3.01,312,83,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.76,330,118,Yes
Cybersecurity,Information Systems,3.0,315,100,Yes
Data Science,Information Systems,3.99,296,102,No
Environmental Engineering,Civil & Environmental Engineering,3.55,318,116,No
Electrical Engineering,Electrical Engineering,3.94,335,109,Yes
Human-Centered Computing,Information Systems,3.65,325,100,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.57,300,107,Yes
Computer Science,Computer Science,3.6,326,114,Yes
Computer Science,Computer Science,3.84,290,111,No
Computer Science,Computer Science,3.84,311,113,Yes
Human-Centered Computing,Information Systems,3.74,306,112,Yes
Human-Centered Computing,Information Systems,3.71,335,102,No
Cybersecurity,Information Systems,3.52,305,120,Yes
Environmental Engineering,Civil & Environmental Engineering,3.57,311,106,Yes
Electrical Engineering,Electrical Engineering,3.83,329,114,Yes
Data Science,Information Systems,3.58,328,119,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.45,323,89,Yes
Electrical Engineering,Electrical Engineering,3.48,294,94,Yes
Electrical Engineering,Electrical Engineering,3.4,332,91,Yes
Computer Science,Computer Science,3.81,322,102,Yes
Human-Centered Computing,Information Systems,3.89,304,100,No
Cybersecurity,Information Systems,3.96,313,84,Yes
Human-Centered Computing,Information Systems,3.61,314,105,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.87,301,118,Yes
Computer Science,Computer Science,3.89,312,112,No
Data Science,Information Systems,3.83,301,116,Yes
Environmental Engineering,Civil & Environmental Engineering,3.56,296,106,Yes
Environmental Engineering,Civil & Environmental Engineering,3.97,302,111,Yes
Computer Science,Computer Science,3.93,291,113,No
Environmental Engineering,Civil & Environmental Engineering,3.88,309,120,Yes
Engineering Management,Engineering Management,3.12,298,118,No
Cybersecurity,Information Systems,3.65,319,108,No
Human-Centered Computing,Information Systems,3.86,328,100,No
Data Science,Information Systems,3.62,306,105,No
Human-Centered Computing,Information Systems,3.89,306,112,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.57,309,89,No
Cybersecurity,Information Systems,3.15,323,89,Yes
Human-Centered Computing,Information Systems,3.51,339,111,No
Electrical Engineering,Electrical Engineering,3.87,339,91,Yes
Engineering Management,Engineering Management,3.95,292,100,Yes
Human-Centered Computing,Information Systems,3.79,328,116,Yes
Cybersecurity,Information Systems,3.56,318,115,Yes
Data Science,Information Systems,3.95,324,112,Yes
Electrical Engineering,Electrical Engineering,3.65,329,106,No
Health Information Technology,Information Systems,3.23,308,111,Yes
Electrical Engineering,Electrical Engineering,3.25,312,94,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.39,293,82,No
Human-Centered Computing,Information Systems,3.63,332,101,No
Computer Engineering,Computer Science & Electrical Engineering,3.57,312,100,No
Engineering Management,Engineering Management,3.08,335,81,Yes
Computer Science,Computer Science,3.66,331,107,Yes
Data Science,Information Systems,3.76,340,120,No
Engineering Management,Engineering Management,3.37,318,115,No
Cybersecurity,Information Systems,3.91,290,80,Yes
Environmental Engineering,Civil & Environmental Engineering,3.83,307,119,Yes
Human-Centered Computing,Information Systems,3.95,335,102,No
Cybersecurity,Information Systems,3.26,303,82,No
Computer Science,Computer Science,3.64,312,100,Yes
Electrical Engineering,Electrical Engineering,3.58,320,104,Yes
Cybersecurity,Information Systems,3.17,329,106,Yes
Computer Science,Computer Science,3.76,306,114,No
Computer Engineering,Computer Science & Electrical Engineering,3.29,295,88,Yes
Data Science,Information Systems,3.46,330,91,No
Cybersecurity,Information Systems,3.96,319,106,Yes
Health Information Technology,Information Systems,3.66,318,94,Yes
Human-Centered Computing,Information Systems,3.78,335,106,No
Environmental Engineering,Civil & Environmental Engineering,3.95,321,115,No
Health Information Technology,Information Systems,3.6,316,119,Yes
Health Information Technology,Information Systems,3.41,329,116,Yes
Engineering Management,Engineering Management,3.58,307,105,No
Electrical Engineering,Electrical Engineering,3.88,291,91,No
Engineering Management,Engineering Management,3.67,318,112,No
Computer Science,Computer Science,3.75,322,114,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.32,295,83,Yes
Health Information Technology,Information Systems,3.67,300,106,Yes
Engineering Management,Engineering Management,3.37,328,105,Yes
Environmental Engineering,Civil & Environmental Engineering,3.99,304,116,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.36,297,118,Yes
Engineering Management,Engineering Management,3.07,308,116,Yes
Computer Science,Computer Science,3.62,293,119,Yes
Environmental Engineering,Civil & Environmental Engineering,3.66,326,117,No
Health Information Technology,Information Systems,3.68,318,90,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.61,292,97,Yes
Engineering Management,Engineering Management,3.39,291,102,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.64,316,87,No
Computer Science,Computer Science,3.53,316,106,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.28,320,80,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.95,323,85,No
Human-Centered Computing,Information Systems,3.89,310,110,Yes
Electrical Engineering,Electrical Engineering,3.86,305,102,No
Engineering Management,Engineering Management,3.72,321,110,Yes
Computer Science,Computer Science,3.66,315,113,Yes
Computer Science,Computer Science,3.89,333,111,Yes
Engineering Management,Engineering Management,3.04,297,80,Yes
Computer Science,Computer Science,3.77,298,118,Yes
Cybersecurity,Information Systems,3.36,335,119,No
Human-Centered Computing,Information Systems,3.84,325,116,No
Cybersecurity,Information Systems,3.72,334,86,No
Engineering Management,Engineering Management,3.13,332,114,Yes
Data Science,Information Systems,3.54,301,98,Yes
Environmental Engineering,Civil & Environmental Engineering,3.7,313,115,No
Electrical Engineering,Electrical Engineering,3.2,326,94,No
Cybersecurity,Information Systems,3.77,323,112,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.29,300,102,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.86,324,81,Yes
Human-Centered Computing,Information Systems,3.69,294,106,Yes
Electrical Engineering,Electrical Engineering,3.28,298,98,Yes
Health Information Technology,Information Systems,3.41,294,91,Yes
Human-Centered Computing,Information Systems,3.85,293,110,Yes
Human-Centered Computing,Information Systems,3.75,303,116,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.96,293,117,Yes
Electrical Engineering,Electrical Engineering,3.25,325,94,Yes
Environmental Engineering,Civil & Environmental Engineering,3.79,303,120,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.75,293,119,No
Engineering Management,Engineering Management,3.3,304,104,Yes
Environmental Engineering,Civil & Environmental Engineering,3.9,307,113,No
Environmental Engineering,Civil & Environmental Engineering,3.52,334,104,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.2,334,91,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.31,304,94,Yes
Computer Science,Computer Science,3.88,314,100,Yes
Computer Science,Computer Science,3.66,313,109,No
Health Information Technology,Information Systems,3.16,303,101,Yes
Data Science,Information Systems,3.96,318,95,Yes
Health Information Technology,Information Systems,3.21,332,119,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.31,340,80,Yes
Health Information Technology,Information Systems,3.96,314,106,Yes
Environmental Engineering,Civil & Environmental Engineering,3.56,313,118,Yes
Electrical Engineering,Electrical Engineering,3.87,330,120,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.76,322,93,No
Engineering Management,Engineering Management,3.22,339,101,Yes
Engineering Management,Engineering Management,3.77,317,104,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.75,312,87,Yes
Data Science,Information Systems,3.82,313,105,Yes
Electrical Engineering,Electrical Engineering,3.62,296,111,No
Environmental Engineering,Civil & Environmental Engineering,3.56,317,114,No
Cybersecurity,Information Systems,3.75,296,81,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.4,336,81,Yes
Computer Science,Computer Science,3.74,328,104,Yes
Data Science,Information Systems,3.53,330,108,Yes
Human-Centered Computing,Information Systems,3.96,327,111,Yes
Electrical Engineering,Electrical Engineering,3.66,299,101,No
Human-Centered Computing,Information Systems,3.81,326,100,No
Human-Centered Computing,Information Systems,3.84,307,101,Yes
Health Information Technology,Information Systems,3.44,304,103,Yes
Computer Science,Computer Science,3.89,295,102,No
Computer Science,Computer Science,3.8,310,100,Yes
Data Science,Information Systems,3.77,321,120,Yes
Human-Centered Computing,Information Systems,3.78,292,108,Yes
Data Science,Information Systems,3.99,319,94,Yes
Data Science,Information Systems,3.61,314,106,No
Health Information Technology,Information Systems,3.13,291,110,Yes
Data Science,Information Systems,3.75,313,93,Yes
Human-Centered Computing,Information Systems,3.75,324,112,Yes
Environmental Engineering,Civil & Environmental Engineering,3.76,309,107,Yes
Cybersecurity,Information Systems,3.47,329,105,Yes
Environmental Engineering,Civil & Environmental Engineering,3.78,337,116,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.62,294,92,Yes
Human-Centered Computing,Information Systems,3.66,294,109,No
Cybersecurity,Information Systems,3.59,304,117,No
Computer Engineering,Computer Science & Electrical Engineering,3.69,300,120,Yes
Health Information Technology,Information Systems,3.3,317,103,Yes
Health Information Technology,Information Systems,3.95,334,98,Yes
Human-Centered Computing,Information Systems,3.82,322,108,Yes
Data Science,Information Systems,3.72,297,119,Yes
Health Information Technology,Information Systems,3.17,315,115,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.92,319,103,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.72,309,85,No
Engineering Management,Engineering Management,3.93,303,116,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.3,319,116,Yes
Engineering Management,Engineering Management,3.73,317,114,Yes
Computer Science,Computer Science,3.54,324,110,No
Computer Engineering,Computer Science & Electrical Engineering,3.81,294,114,Yes
Cybersecurity,Information Systems,3.85,334,95,Yes
Environmental Engineering,Civil & Environmental Engineering,3.98,292,110,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.51,317,90,Yes
Computer Science,Computer Science,3.59,335,112,Yes
Computer Science,Computer Science,3.79,329,101,No
Human-Centered Computing,Information Systems,3.97,315,116,Yes
Data Science,Information Systems,3.61,329,106,Yes
Cybersecurity,Information Systems,3.01,305,118,Yes
Health Information Technology,Information Systems,3.4,340,103,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.45,331,103,Yes
Environmental Engineering,Civil & Environmental Engineering,3.98,300,107,Yes
Computer Science,Computer Science,3.63,317,101,Yes
Human-Centered Computing,Information Systems,3.73,308,106,No
Human-Centered Computing,Information Systems,3.91,317,118,No
Engineering Management,Engineering Management,3.12,295,87,No
Health Information Technology,Information Systems,3.75,325,120,No
Human-Centered Computing,Information Systems,3.57,309,119,No
Health Information Technology,Information Systems,3.7,318,98,No
Computer Science,Computer Science,3.88,324,100,No
Computer Science,Computer Science,3.99,326,116,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.88,320,116,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.78,309,115,No
Electrical Engineering,Electrical Engineering,3.83,290,120,Yes
Engineering Management,Engineering Management,3.92,307,90,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.32,311,106,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.49,328,92,Yes
Health Information Technology,Information Systems,3.19,303,110,Yes
Electrical Engineering,Electrical Engineering,3.65,334,92,Yes
Health Information Technology,Information Systems,3.64,328,120,Yes
Health Information Technology,Information Systems,3.24,305,110,Yes
Cybersecurity,Information Systems,3.45,304,98,No
Cybersecurity,Information Systems,3.84,324,96,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.84,292,80,Yes
Human-Centered Computing,Information Systems,3.63,336,100,No
Electrical Engineering,Electrical Engineering,3.53,324,97,No
Environmental Engineering,Civil & Environmental Engineering,3.94,319,107,Yes
Engineering Management,Engineering Management,3.3,302,109,Yes
Cybersecurity,Information Systems,3.5,294,110,No
Engineering Management,Engineering Management,3.8,337,90,Yes
Engineering Management,Engineering Management,3.79,333,84,Yes
Computer Science,Computer Science,3.61,320,113,No
Environmental Engineering,Civil & Environmental Engineering,3.74,314,101,Yes
Electrical Engineering,Electrical Engineering,3.36,320,94,No
Computer Engineering,Computer Science & Electrical Engineering,3.6,313,115,No
Data Science,Information Systems,3.91,297,92,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.36,298,96,No
Electrical Engineering,Electrical Engineering,3.32,324,94,Yes
Cybersecurity,Information Systems,3.41,293,81,Yes
Electrical Engineering,Electrical Engineering,3.28,336,105,No
Environmental Engineering,Civil & Environmental Engineering,3.85,316,110,Yes
Computer Science,Computer Science,3.83,323,119,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.66,305,109,Yes
Electrical Engineering,Electrical Engineering,3.69,308,100,Yes
Environmental Engineering,Civil & Environmental Engineering,3.72,292,115,Yes
Environmental Engineering,Civil & Environmental Engineering,3.81,296,113,No
Environmental Engineering,Civil & Environmental Engineering,3.75,306,109,No
