Student ID,Interests,Career Goals,Matched Courses
405,Power Systems,Data Science,"Electrical Engineering, Data Science"
406,User Experience Design,Data Science,"Human-Centered Computing, Information Systems"
407,Software Development,Engineering Management,"Software Engineering, Computer Science"
408,Database Management,Computer Engineering,"Information Systems, Chemical & Biochemical Engineering"
409,Database Management,Information Systems,Information Systems
410,Data Mining,Information Systems,"Data Science, Environmental Engineering"
411,Agile Methodologies,Engineering Management,"Software Engineering, Environmental Engineering"
412,Electronics,Cybersecurity,"Electrical Engineering, Computer Engineering"
413,Process Optimization,Information Systems,"Chemical & Biochemical Engineering, Computer Science"
414,Artificial Intelligence,Software Engineering,"Computer Science, Electrical Engineering"
415,Cryptography,Software Engineering,"Cybersecurity, Human-Centered Computing"
416,Human-Computer Interaction,Computer Science,"Human-Centered Computing, Cybersecurity"
417,User Experience Design,Software Engineering,"Human-Centered Computing, Chemical & Biochemical Engineering"
418,Biochemistry,Cybersecurity,"Chemical & Biochemical Engineering, Cybersecurity"
419,Chemistry,Cybersecurity,"Chemical & Biochemical Engineering, Cybersecurity"
420,VLSI Design,Chemical & Biochemical Engineering,"Computer Engineering, Computer Science"
421,Electronic Health Records,Cybersecurity,"Health Information Technology, Engineering Management"
422,Control Systems,Software Engineering,"Electrical Engineering, Computer Science"
423,Computer Architecture,Cybersecurity,"Computer Engineering, Engineering Management"
424,Strategic Planning,Cybersecurity,"Engineering Management, Data Science"
425,Electronic Health Records,Software Engineering,"Health Information Technology, Environmental Engineering"
426,Algorithms,Engineering Management,"Computer Science, Cybersecurity"
427,Environmental Science,Human-Centered Computing,"Environmental Engineering, Computer Science"
428,Algorithms,Human-Centered Computing,"Computer Science, Data Science"
429,Usability Testing,Health Information Technology,"Human-Centered Computing, Health Information Technology"
430,Algorithms,Environmental Engineering,"Computer Science, Software Engineering"
431,Process Optimization,Information Systems,"Chemical & Biochemical Engineering, Cybersecurity"
432,Usability Testing,Electrical Engineering,"Human-Centered Computing, Software Engineering"
433,Usability Testing,Computer Science,"Human-Centered Computing, Information Systems"
434,VLSI Design,Chemical & Biochemical Engineering,"Computer Engineering, Engineering Management"
435,Network Security,Computer Science,"Cybersecurity, Engineering Management"
436,Statistics,Information Systems,"Data Science, Electrical Engineering"
437,Pollution Control,Computer Science,"Environmental Engineering, Software Engineering"
438,Software Development,Software Engineering,Software Engineering
439,Project Management,Computer Engineering,"Software Engineering, Computer Engineering"
440,Artificial Intelligence,Engineering Management,"Computer Science, Environmental Engineering"
441,Healthcare Systems,Software Engineering,"Health Information Technology, Engineering Management"
442,Pollution Control,Electrical Engineering,"Environmental Engineering, Software Engineering"
443,Sustainability,Cybersecurity,"Environmental Engineering, Computer Engineering"
444,Electronics,Data Science,"Electrical Engineering, Health Information Technology"
445,Healthcare Systems,Computer Science,"Health Information Technology, Chemical & Biochemical Engineering"
446,Biochemistry,Software Engineering,"Chemical & Biochemical Engineering, Cybersecurity"
447,VLSI Design,Data Science,"Computer Engineering, Health Information Technology"
448,Algorithms,Cybersecurity,"Computer Science, Human-Centered Computing"
449,Data Mining,Engineering Management,"Data Science, Electrical Engineering"
450,Human-Computer Interaction,Data Science,"Human-Centered Computing, Computer Engineering"
451,Cryptography,Chemical & Biochemical Engineering,"Cybersecurity, Engineering Management"
452,Power Systems,Engineering Management,"Electrical Engineering, Information Systems"
453,Artificial Intelligence,Chemical & Biochemical Engineering,"Computer Science, Engineering Management"
454,Machine Learning,Engineering Management,"Computer Science, Health Information Technology"
455,VLSI Design,Data Science,"Computer Engineering, Environmental Engineering"
456,Computer Architecture,Computer Science,"Computer Engineering, Health Information Technology"
457,Cryptography,Information Systems,"Cybersecurity, Chemical & Biochemical Engineering"
458,User Experience Design,Engineering Management,"Human-Centered Computing, Engineering Management"
459,Healthcare Systems,Software Engineering,"Health Information Technology, Cybersecurity"
460,Computer Architecture,Data Science,"Computer Engineering, Software Engineering"
461,Power Systems,Environmental Engineering,"Electrical Engineering, Chemical & Biochemical Engineering"
462,Leadership,Cybersecurity,"Engineering Management, Chemical & Biochemical Engineering"
463,VLSI Design,Data Science,"Computer Engineering, Software Engineering"
464,Embedded Systems,Computer Science,"Computer Engineering, Human-Centered Computing"
465,Project Management,Environmental Engineering,"Software Engineering, Health Information Technology"
466,VLSI Design,Software Engineering,"Computer Engineering, Software Engineering"
467,Information Security,Electrical Engineering,"Information Systems, Cybersecurity"
468,Electronic Health Records,Computer Science,"Health Information Technology, Electrical Engineering"
469,Computer Architecture,Cybersecurity,"Computer Engineering, Cybersecurity"
470,VLSI Design,Electrical Engineering,"Computer Engineering, Environmental Engineering"
471,Electronic Health Records,Computer Engineering,"Health Information Technology, Engineering Management"
472,Leadership,Human-Centered Computing,"Engineering Management, Data Science"
473,Power Systems,Human-Centered Computing,"Electrical Engineering, Environmental Engineering"
474,Machine Learning,Computer Engineering,"Computer Science, Data Science"
475,Project Management,Information Systems,"Software Engineering, Human-Centered Computing"
476,Database Management,Electrical Engineering,"Information Systems, Human-Centered Computing"
477,Data Mining,Human-Centered Computing,"Data Science, Engineering Management"
478,Agile Methodologies,Information Systems,"Software Engineering, Environmental Engineering"
479,Health Informatics,Computer Engineering,"Health Information Technology, Environmental Engineering"
480,Healthcare Systems,Software Engineering,"Health Information Technology, Data Science"
481,Chemistry,Computer Science,"Chemical & Biochemical Engineering, Computer Science"
482,Data Mining,Computer Engineering,"Data Science, Information Systems"
483,Network Security,Computer Science,"Cybersecurity, Engineering Management"
484,Leadership,Chemical & Biochemical Engineering,"Engineering Management, Human-Centered Computing"
485,Embedded Systems,Health Information Technology,"Computer Engineering, Engineering Management"
486,Machine Learning,Engineering Management,"Computer Science, Environmental Engineering"
487,Computer Architecture,Cybersecurity,"Computer Engineering, Human-Centered Computing"
488,Data Mining,Chemical & Biochemical Engineering,"Data Science, Chemical & Biochemical Engineering"
489,Leadership,Computer Engineering,"Engineering Management, Information Systems"
490,Machine Learning,Cybersecurity,"Computer Science, Chemical & Biochemical Engineering"
491,Human-Computer Interaction,Electrical Engineering,"Human-Centered Computing, Computer Science"
492,Database Management,Data Science,"Information Systems, Computer Engineering"
493,Computer Architecture,Environmental Engineering,"Computer Engineering, Electrical Engineering"
494,Cryptography,Engineering Management,"Cybersecurity, Health Information Technology"
495,Environmental Science,Software Engineering,"Environmental Engineering, Information Systems"
496,Biochemistry,Health Information Technology,"Chemical & Biochemical Engineering, Human-Centered Computing"
497,Environmental Science,Health Information Technology,"Environmental Engineering, Engineering Management"
498,Electronics,Cybersecurity,"Electrical Engineering, Software Engineering"
499,Usability Testing,Cybersecurity,"Human-Centered Computing, Data Science"
500,Human-Computer Interaction,Information Systems,"Human-Centered Computing, Engineering Management"
501,Health Informatics,Computer Engineering,"Health Information Technology, Electrical Engineering"
502,Process Optimization,Computer Engineering,"Chemical & Biochemical Engineering, Data Science"
503,Network Security,Computer Science,"Cybersecurity, Chemical & Biochemical Engineering"
504,Process Optimization,Cybersecurity,"Chemical & Biochemical Engineering, Environmental Engineering"
505,Healthcare Systems,Engineering Management,"Health Information Technology, Computer Engineering"
506,Human-Computer Interaction,Engineering Management,"Human-Centered Computing, Chemical & Biochemical Engineering"
507,Embedded Systems,Human-Centered Computing,"Computer Engineering, Data Science"
508,Cryptography,Health Information Technology,"Cybersecurity, Data Science"
509,Data Mining,Computer Science,"Data Science, Software Engineering"
510,Agile Methodologies,Chemical & Biochemical Engineering,"Software Engineering, Health Information Technology"
511,Human-Computer Interaction,Computer Engineering,"Human-Centered Computing, Engineering Management"
512,Healthcare Systems,Data Science,"Health Information Technology, Electrical Engineering"
513,Electronic Health Records,Information Systems,"Health Information Technology, Electrical Engineering"
514,Leadership,Engineering Management,Engineering Management
515,Environmental Science,Software Engineering,"Environmental Engineering, Engineering Management"
516,Information Security,Human-Centered Computing,"Information Systems, Electrical Engineering"
517,Usability Testing,Chemical & Biochemical Engineering,"Human-Centered Computing, Electrical Engineering"
518,Artificial Intelligence,Computer Engineering,"Computer Science, Software Engineering"
519,Leadership,Health Information Technology,"Engineering Management, Data Science"
520,Healthcare Systems,Environmental Engineering,"Health Information Technology, Engineering Management"
521,Electronic Health Records,Electrical Engineering,"Health Information Technology, Cybersecurity"
522,Usability Testing,Human-Centered Computing,Human-Centered Computing
523,Electronic Health Records,Data Science,"Health Information Technology, Environmental Engineering"
524,Leadership,Electrical Engineering,"Engineering Management, Electrical Engineering"
525,Computer Architecture,Computer Engineering,Computer Engineering
526,Strategic Planning,Environmental Engineering,"Engineering Management, Software Engineering"
527,Chemistry,Data Science,"Chemical & Biochemical Engineering, Environmental Engineering"
528,Cryptography,Computer Science,"Cybersecurity, Electrical Engineering"
529,Computer Architecture,Human-Centered Computing,"Computer Engineering, Human-Centered Computing"
530,Algorithms,Computer Science,Computer Science
531,User Experience Design,Computer Engineering,"Human-Centered Computing, Chemical & Biochemical Engineering"
532,Algorithms,Engineering Management,"Computer Science, Human-Centered Computing"
533,Strategic Planning,Information Systems,"Engineering Management, Computer Engineering"
534,Environmental Science,Health Information Technology,"Environmental Engineering, Human-Centered Computing"
535,Chemistry,Data Science,"Chemical & Biochemical Engineering, Human-Centered Computing"
536,Process Optimization,Health Information Technology,"Chemical & Biochemical Engineering, Computer Engineering"
537,Data Mining,Computer Engineering,"Data Science, Information Systems"
538,Control Systems,Engineering Management,"Electrical Engineering, Information Systems"
539,Health Informatics,Human-Centered Computing,"Health Information Technology, Software Engineering"
540,Data Mining,Health Information Technology,"Data Science, Chemical & Biochemical Engineering"
541,VLSI Design,Engineering Management,"Computer Engineering, Human-Centered Computing"
542,Biochemistry,Health Information Technology,"Chemical & Biochemical Engineering, Environmental Engineering"
543,Cryptography,Computer Engineering,"Cybersecurity, Computer Engineering"
544,Algorithms,Environmental Engineering,"Computer Science, Health Information Technology"
545,Algorithms,Computer Science,Computer Science
546,Ethical Hacking,Cybersecurity,Cybersecurity
547,Pollution Control,Data Science,"Environmental Engineering, Chemical & Biochemical Engineering"
548,Process Optimization,Computer Science,"Chemical & Biochemical Engineering, Cybersecurity"
549,Data Mining,Human-Centered Computing,"Data Science, Software Engineering"
550,Database Management,Engineering Management,"Information Systems, Human-Centered Computing"
551,Network Security,Health Information Technology,"Cybersecurity, Data Science"
552,Artificial Intelligence,Health Information Technology,"Computer Science, Information Systems"
553,VLSI Design,Chemical & Biochemical Engineering,"Computer Engineering, Environmental Engineering"
554,Biochemistry,Computer Science,"Chemical & Biochemical Engineering, Software Engineering"
555,Control Systems,Health Information Technology,"Electrical Engineering, Cybersecurity"
556,Data Mining,Cybersecurity,"Data Science, Computer Engineering"
557,Data Mining,Information Systems,"Data Science, Health Information Technology"
558,Pollution Control,Software Engineering,"Environmental Engineering, Electrical Engineering"
559,Leadership,Health Information Technology,"Engineering Management, Software Engineering"
560,Healthcare Systems,Human-Centered Computing,"Health Information Technology, Information Systems"
561,Statistics,Cybersecurity,"Data Science, Chemical & Biochemical Engineering"
562,Information Security,Environmental Engineering,"Information Systems, Chemical & Biochemical Engineering"
563,Usability Testing,Environmental Engineering,"Human-Centered Computing, Chemical & Biochemical Engineering"
564,Pollution Control,Data Science,"Environmental Engineering, Human-Centered Computing"
565,Algorithms,Chemical & Biochemical Engineering,"Computer Science, Information Systems"
566,Human-Computer Interaction,Information Systems,"Human-Centered Computing, Cybersecurity"
567,Information Security,Environmental Engineering,"Information Systems, Computer Engineering"
568,VLSI Design,Cybersecurity,"Computer Engineering, Health Information Technology"
569,Control Systems,Electrical Engineering,Electrical Engineering
570,Software Development,Health Information Technology,"Software Engineering, Engineering Management"
571,Agile Methodologies,Health Information Technology,"Software Engineering, Chemical & Biochemical Engineering"
572,Electronics,Electrical Engineering,Electrical Engineering
573,Agile Methodologies,Computer Science,"Software Engineering, Computer Engineering"
574,Cryptography,Chemical & Biochemical Engineering,"Cybersecurity, Human-Centered Computing"
575,Data Mining,Cybersecurity,"Data Science, Information Systems"
576,Database Management,Environmental Engineering,"Information Systems, Engineering Management"
577,Chemistry,Information Systems,"Chemical & Biochemical Engineering, Computer Science"
578,Database Management,Computer Science,"Information Systems, Environmental Engineering"
579,Human-Computer Interaction,Environmental Engineering,"Human-Centered Computing, Computer Engineering"
580,Sustainability,Chemical & Biochemical Engineering,"Environmental Engineering, Computer Science"
581,Strategic Planning,Health Information Technology,"Engineering Management, Human-Centered Computing"
582,VLSI Design,Cybersecurity,"Computer Engineering, Computer Science"
583,Strategic Planning,Chemical & Biochemical Engineering,"Engineering Management, Computer Engineering"
584,VLSI Design,Engineering Management,"Computer Engineering, Health Information Technology"
585,Usability Testing,Electrical Engineering,"Human-Centered Computing, Electrical Engineering"
586,Data Mining,Human-Centered Computing,"Data Science, Computer Engineering"
587,Human-Computer Interaction,Environmental Engineering,"Human-Centered Computing, Computer Science"
588,Strategic Planning,Engineering Management,Engineering Management
589,Data Mining,Environmental Engineering,"Data Science, Computer Engineering"
590,Machine Learning,Computer Engineering,"Computer Science, Cybersecurity"
591,Electronics,Cybersecurity,"Electrical Engineering, Data Science"
592,Database Management,Computer Engineering,"Information Systems, Environmental Engineering"
593,Chemistry,Engineering Management,"Chemical & Biochemical Engineering, Electrical Engineering"
594,Health Informatics,Chemical & Biochemical Engineering,"Health Information Technology, Software Engineering"
595,Control Systems,Engineering Management,"Electrical Engineering, Information Systems"
596,Cryptography,Environmental Engineering,"Cybersecurity, Information Systems"
597,Computer Architecture,Software Engineering,"Computer Engineering, Environmental Engineering"
598,Computer Architecture,Environmental Engineering,"Computer Engineering, Data Science"
599,Electronics,Computer Engineering,"Electrical Engineering, Cybersecurity"
600,Network Security,Chemical & Biochemical Engineering,"Cybersecurity, Chemical & Biochemical Engineering"
601,Environmental Science,Engineering Management,"Environmental Engineering, Electrical Engineering"
602,Project Management,Electrical Engineering,"Software Engineering, Health Information Technology"
603,Network Security,Human-Centered Computing,"Cybersecurity, Computer Science"
604,Control Systems,Health Information Technology,"Electrical Engineering, Software Engineering"
605,Power Systems,Health Information Technology,"Electrical Engineering, Cybersecurity"
606,Embedded Systems,Environmental Engineering,"Computer Engineering, Data Science"
607,Electronics,Information Systems,"Electrical Engineering, Computer Engineering"
608,Machine Learning,Human-Centered Computing,"Computer Science, Health Information Technology"
609,Health Informatics,Environmental Engineering,"Health Information Technology, Information Systems"
610,User Experience Design,Software Engineering,"Human-Centered Computing, Computer Engineering"
611,Machine Learning,Environmental Engineering,"Computer Science, Software Engineering"
612,Sustainability,Software Engineering,"Environmental Engineering, Health Information Technology"
613,Information Security,Computer Science,"Information Systems, Data Science"
614,Electronics,Human-Centered Computing,"Electrical Engineering, Computer Science"
615,User Experience Design,Environmental Engineering,"Human-Centered Computing, Engineering Management"
616,Ethical Hacking,Health Information Technology,"Cybersecurity, Data Science"
617,Health Informatics,Data Science,"Health Information Technology, Electrical Engineering"
618,Power Systems,Human-Centered Computing,"Electrical Engineering, Cybersecurity"
619,Information Security,Software Engineering,"Information Systems, Data Science"
620,Human-Computer Interaction,Software Engineering,"Human-Centered Computing, Computer Science"
621,Project Management,Human-Centered Computing,"Software Engineering, Environmental Engineering"
622,Machine Learning,Software Engineering,"Computer Science, Information Systems"
623,Embedded Systems,Engineering Management,"Computer Engineering, Electrical Engineering"
624,Statistics,Environmental Engineering,"Data Science, Environmental Engineering"
625,Strategic Planning,Information Systems,"Engineering Management, Information Systems"
626,Artificial Intelligence,Computer Science,Computer Science
627,Agile Methodologies,Data Science,"Software Engineering, Human-Centered Computing"
628,Project Management,Cybersecurity,"Software Engineering, Human-Centered Computing"
629,VLSI Design,Software Engineering,"Computer Engineering, Human-Centered Computing"
630,Biochemistry,Software Engineering,"Chemical & Biochemical Engineering, Software Engineering"
631,Database Management,Data Science,"Information Systems, Computer Engineering"
632,VLSI Design,Cybersecurity,"Computer Engineering, Engineering Management"
633,Electronics,Environmental Engineering,"Electrical Engineering, Software Engineering"
634,Sustainability,Environmental Engineering,Environmental Engineering
635,Information Security,Computer Engineering,"Information Systems, Software Engineering"
636,Strategic Planning,Data Science,"Engineering Management, Cybersecurity"
637,Embedded Systems,Human-Centered Computing,"Computer Engineering, Health Information Technology"
638,Environmental Science,Cybersecurity,"Environmental Engineering, Human-Centered Computing"
639,Cryptography,Computer Engineering,"Cybersecurity, Computer Engineering"
640,Computer Architecture,Chemical & Biochemical Engineering,"Computer Engineering, Data Science"
641,Sustainability,Information Systems,"Environmental Engineering, Cybersecurity"
642,Database Management,Health Information Technology,"Information Systems, Data Science"
643,Project Management,Computer Science,"Software Engineering, Electrical Engineering"
644,Information Security,Engineering Management,"Information Systems, Data Science"
645,Database Management,Health Information Technology,"Information Systems, Engineering Management"
646,Information Security,Cybersecurity,"Information Systems, Data Science"
647,Electronic Health Records,Electrical Engineering,"Health Information Technology, Environmental Engineering"
648,Electronics,Engineering Management,"Electrical Engineering, Computer Engineering"
649,Database Management,Information Systems,Information Systems
650,Biochemistry,Computer Science,"Chemical & Biochemical Engineering, Electrical Engineering"
651,Health Informatics,Human-Centered Computing,"Health Information Technology, Chemical & Biochemical Engineering"
652,Artificial Intelligence,Data Science,"Computer Science, Cybersecurity"
653,Chemistry,Health Information Technology,"Chemical & Biochemical Engineering, Computer Engineering"
654,Health Informatics,Environmental Engineering,"Health Information Technology, Information Systems"
655,Human-Computer Interaction,Cybersecurity,"Human-Centered Computing, Computer Science"
656,Healthcare Systems,Environmental Engineering,"Health Information Technology, Environmental Engineering"
657,Healthcare Systems,Chemical & Biochemical Engineering,"Health Information Technology, Computer Science"
658,Algorithms,Computer Engineering,"Computer Science, Chemical & Biochemical Engineering"
659,Electronic Health Records,Electrical Engineering,"Health Information Technology, Computer Engineering"
660,Control Systems,Health Information Technology,"Electrical Engineering, Data Science"
661,Project Management,Chemical & Biochemical Engineering,"Software Engineering, Cybersecurity"
662,Electronics,Health Information Technology,"Electrical Engineering, Information Systems"
663,VLSI Design,Software Engineering,"Computer Engineering, Electrical Engineering"
664,Strategic Planning,Computer Engineering,"Engineering Management, Information Systems"
665,Sustainability,Information Systems,"Environmental Engineering, Computer Science"
666,Ethical Hacking,Cybersecurity,Cybersecurity
667,Ethical Hacking,Human-Centered Computing,"Cybersecurity, Electrical Engineering"
668,Machine Learning,Computer Science,Computer Science
669,Human-Computer Interaction,Computer Science,"Human-Centered Computing, Environmental Engineering"
670,Machine Learning,Data Science,"Computer Science, Computer Engineering"
671,Agile Methodologies,Environmental Engineering,"Software Engineering, Cybersecurity"
672,Leadership,Information Systems,"Engineering Management, Chemical & Biochemical Engineering"
673,Health Informatics,Electrical Engineering,"Health Information Technology, Human-Centered Computing"
674,Pollution Control,Information Systems,"Environmental Engineering, Engineering Management"
675,Process Optimization,Environmental Engineering,"Chemical & Biochemical Engineering, Engineering Management"
676,Artificial Intelligence,Electrical Engineering,"Computer Science, Engineering Management"
677,Cryptography,Environmental Engineering,"Cybersecurity, Software Engineering"
678,VLSI Design,Human-Centered Computing,"Computer Engineering, Software Engineering"
679,Biochemistry,Chemical & Biochemical Engineering,Chemical & Biochemical Engineering
680,VLSI Design,Engineering Management,"Computer Engineering, Cybersecurity"
681,VLSI Design,Cybersecurity,"Computer Engineering, Information Systems"
682,Electronic Health Records,Data Science,"Health Information Technology, Electrical Engineering"
683,Control Systems,Health Information Technology,"Electrical Engineering, Chemical & Biochemical Engineering"
684,Environmental Science,Engineering Management,"Environmental Engineering, Data Science"
685,Network Security,Electrical Engineering,"Cybersecurity, Environmental Engineering"
686,Embedded Systems,Information Systems,"Computer Engineering, Human-Centered Computing"
687,Electronic Health Records,Data Science,"Health Information Technology, Engineering Management"
688,Information Security,Information Systems,Information Systems
689,Process Optimization,Health Information Technology,"Chemical & Biochemical Engineering, Cybersecurity"
690,Strategic Planning,Computer Science,"Engineering Management, Electrical Engineering"
691,Computer Architecture,Environmental Engineering,"Computer Engineering, Data Science"
692,Statistics,Chemical & Biochemical Engineering,"Data Science, Human-Centered Computing"
693,Ethical Hacking,Engineering Management,"Cybersecurity, Engineering Management"
694,Statistics,Electrical Engineering,"Data Science, Computer Engineering"
695,Project Management,Computer Science,"Software Engineering, Health Information Technology"
696,Human-Computer Interaction,Human-Centered Computing,Human-Centered Computing
697,Algorithms,Data Science,"Computer Science, Human-Centered Computing"
698,Pollution Control,Chemical & Biochemical Engineering,"Environmental Engineering, Computer Science"
699,Environmental Science,Electrical Engineering,"Environmental Engineering, Human-Centered Computing"
700,Project Management,Electrical Engineering,"Software Engineering, Computer Engineering"
701,Healthcare Systems,Electrical Engineering,"Health Information Technology, Data Science"
702,Pollution Control,Chemical & Biochemical Engineering,"Environmental Engineering, Chemical & Biochemical Engineering"
703,Embedded Systems,Data Science,"Computer Engineering, Software Engineering"
704,Ethical Hacking,Chemical & Biochemical Engineering,"Cybersecurity, Human-Centered Computing"
705,Strategic Planning,Computer Science,"Engineering Management, Human-Centered Computing"
706,Ethical Hacking,Chemical & Biochemical Engineering,"Cybersecurity, Human-Centered Computing"
707,Healthcare Systems,Software Engineering,"Health Information Technology, Chemical & Biochemical Engineering"
708,Software Development,Human-Centered Computing,"Software Engineering, Cybersecurity"
709,Algorithms,Human-Centered Computing,"Computer Science, Cybersecurity"
710,Healthcare Systems,Information Systems,"Health Information Technology, Electrical Engineering"
711,Electronic Health Records,Electrical Engineering,"Health Information Technology, Software Engineering"
712,Electronics,Electrical Engineering,Electrical Engineering
713,Health Informatics,Computer Engineering,"Health Information Technology, Information Systems"
714,Human-Computer Interaction,Cybersecurity,"Human-Centered Computing, Health Information Technology"
715,Computer Architecture,Data Science,"Computer Engineering, Environmental Engineering"
716,Human-Computer Interaction,Engineering Management,"Human-Centered Computing, Electrical Engineering"
717,Database Management,Environmental Engineering,"Information Systems, Engineering Management"
718,Process Optimization,Human-Centered Computing,"Chemical & Biochemical Engineering, Human-Centered Computing"
719,VLSI Design,Engineering Management,"Computer Engineering, Data Science"
720,Machine Learning,Health Information Technology,"Computer Science, Chemical & Biochemical Engineering"
721,Control Systems,Electrical Engineering,Electrical Engineering
722,Power Systems,Computer Engineering,"Electrical Engineering, Environmental Engineering"
723,Machine Learning,Health Information Technology,"Computer Science, Cybersecurity"
724,Database Management,Health Information Technology,"Information Systems, Human-Centered Computing"
725,Ethical Hacking,Data Science,"Cybersecurity, Computer Engineering"
726,Computer Architecture,Computer Engineering,Computer Engineering
727,Statistics,Computer Engineering,"Data Science, Computer Engineering"
728,Electronic Health Records,Data Science,"Health Information Technology, Computer Engineering"
729,Embedded Systems,Chemical & Biochemical Engineering,"Computer Engineering, Software Engineering"
730,Sustainability,Computer Engineering,"Environmental Engineering, Chemical & Biochemical Engineering"
731,Database Management,Engineering Management,"Information Systems, Electrical Engineering"
732,Ethical Hacking,Chemical & Biochemical Engineering,"Cybersecurity, Computer Engineering"
733,Power Systems,Health Information Technology,"Electrical Engineering, Chemical & Biochemical Engineering"
734,Leadership,Engineering Management,Engineering Management
735,Healthcare Systems,Human-Centered Computing,"Health Information Technology, Electrical Engineering"
736,Computer Architecture,Data Science,"Computer Engineering, Data Science"
737,Machine Learning,Engineering Management,"Computer Science, Computer Engineering"
738,Database Management,Engineering Management,"Information Systems, Chemical & Biochemical Engineering"
739,Power Systems,Engineering Management,"Electrical Engineering, Chemical & Biochemical Engineering"
740,Ethical Hacking,Computer Engineering,"Cybersecurity, Computer Engineering"
741,Network Security,Data Science,"Cybersecurity, Computer Science"
742,Ethical Hacking,Information Systems,"Cybersecurity, Chemical & Biochemical Engineering"
743,Electronics,Environmental Engineering,"Electrical Engineering, Health Information Technology"
744,Biochemistry,Environmental Engineering,"Chemical & Biochemical Engineering, Software Engineering"
745,Leadership,Health Information Technology,"Engineering Management, Computer Engineering"
746,Usability Testing,Computer Engineering,"Human-Centered Computing, Cybersecurity"
747,Chemistry,Health Information Technology,"Chemical & Biochemical Engineering, Data Science"
748,Pollution Control,Data Science,"Environmental Engineering, Information Systems"
749,Electronic Health Records,Software Engineering,"Health Information Technology, Environmental Engineering"
750,Network Security,Computer Science,"Cybersecurity, Electrical Engineering"
751,Artificial Intelligence,Engineering Management,"Computer Science, Engineering Management"
752,Leadership,Engineering Management,Engineering Management
753,Ethical Hacking,Information Systems,"Cybersecurity, Human-Centered Computing"
754,Usability Testing,Environmental Engineering,"Human-Centered Computing, Chemical & Biochemical Engineering"
755,Project Management,Engineering Management,"Software Engineering, Environmental Engineering"
756,Control Systems,Engineering Management,"Electrical Engineering, Health Information Technology"
757,Computer Architecture,Information Systems,"Computer Engineering, Information Systems"
758,Electronic Health Records,Computer Engineering,"Health Information Technology, Human-Centered Computing"
759,Pollution Control,Environmental Engineering,Environmental Engineering
760,Usability Testing,Electrical Engineering,"Human-Centered Computing, Chemical & Biochemical Engineering"
761,Pollution Control,Engineering Management,"Environmental Engineering, Computer Science"
762,Power Systems,Electrical Engineering,Electrical Engineering
763,Biochemistry,Health Information Technology,"Chemical & Biochemical Engineering, Environmental Engineering"
764,Data Mining,Environmental Engineering,"Data Science, Computer Engineering"
765,Ethical Hacking,Cybersecurity,Cybersecurity
766,Healthcare Systems,Electrical Engineering,"Health Information Technology, Electrical Engineering"
767,Ethical Hacking,Information Systems,"Cybersecurity, Engineering Management"
768,Human-Computer Interaction,Environmental Engineering,"Human-Centered Computing, Computer Science"
769,Biochemistry,Electrical Engineering,"Chemical & Biochemical Engineering, Data Science"
770,Electronics,Information Systems,"Electrical Engineering, Human-Centered Computing"
771,Biochemistry,Environmental Engineering,"Chemical & Biochemical Engineering, Data Science"
772,Electronics,Engineering Management,"Electrical Engineering, Environmental Engineering"
773,Artificial Intelligence,Engineering Management,"Computer Science, Software Engineering"
774,Statistics,Human-Centered Computing,"Data Science, Environmental Engineering"
775,Strategic Planning,Environmental Engineering,"Engineering Management, Computer Science"
776,Agile Methodologies,Computer Engineering,"Software Engineering, Environmental Engineering"
777,Health Informatics,Health Information Technology,Health Information Technology
778,Embedded Systems,Information Systems,"Computer Engineering, Chemical & Biochemical Engineering"
779,Software Development,Data Science,"Software Engineering, Computer Science"
780,Sustainability,Software Engineering,"Environmental Engineering, Data Science"
781,Chemistry,Engineering Management,"Chemical & Biochemical Engineering, Software Engineering"
782,Software Development,Information Systems,"Software Engineering, Engineering Management"
783,Control Systems,Information Systems,"Electrical Engineering, Computer Engineering"
784,Strategic Planning,Chemical & Biochemical Engineering,"Engineering Management, Cybersecurity"
785,Control Systems,Human-Centered Computing,"Electrical Engineering, Information Systems"
786,Data Mining,Environmental Engineering,"Data Science, Information Systems"
787,Cryptography,Computer Engineering,"Cybersecurity, Chemical & Biochemical Engineering"
788,Electronics,Information Systems,"Electrical Engineering, Data Science"
789,Algorithms,Electrical Engineering,"Computer Science, Information Systems"
790,Pollution Control,Software Engineering,"Environmental Engineering, Electrical Engineering"
791,Information Security,Human-Centered Computing,"Information Systems, Data Science"
792,Computer Architecture,Computer Engineering,Computer Engineering
793,Electronics,Data Science,"Electrical Engineering, Cybersecurity"
794,Chemistry,Electrical Engineering,"Chemical & Biochemical Engineering, Information Systems"
795,Biochemistry,Chemical & Biochemical Engineering,Chemical & Biochemical Engineering
796,Agile Methodologies,Software Engineering,Software Engineering
797,Leadership,Engineering Management,Engineering Management
798,Leadership,Information Systems,"Engineering Management, Computer Engineering"
799,Sustainability,Engineering Management,"Environmental Engineering, Cybersecurity"
800,Control Systems,Chemical & Biochemical Engineering,"Electrical Engineering, Cybersecurity"
801,Control Systems,Engineering Management,"Electrical Engineering, Chemical & Biochemical Engineering"
802,Usability Testing,Electrical Engineering,"Human-Centered Computing, Computer Science"
803,Machine Learning,Cybersecurity,"Computer Science, Software Engineering"
804,User Experience Design,Information Systems,"Human-Centered Computing, Data Science"
805,Electronic Health Records,Human-Centered Computing,"Health Information Technology, Engineering Management"
806,Electronic Health Records,Health Information Technology,Health Information Technology
